년도,라운드,구단,감독,상대,점유율,패스성공률(%),패스 성공,키패스,공격진영 패스,중앙지역 패스,수비진영 패스,롱패스,중거리패스,단거리패스,전방패스,횡패스,후방패스,크로스,패스,공격진영 패스 비율,단거리패스 비율,전방패스 비율
2023,24,울산,홍명보,제주,50.6,0.84,378,7,75,174,129,24,132,222,129,142,107,3,450.0,0.16666666666666666,0.49333333333333335,0.2866666666666667
2023,24,제주,남기일,울산,49.4,0.86,379,6,63,210,106,29,117,233,139,161,79,7,440.0,0.1431818181818182,0.5295454545454545,0.3159090909090909
2023,24,포항,김기동,전북,59.6,0.89,515,9,55,287,173,30,224,261,153,230,132,4,578.0,0.09515570934256055,0.4515570934256055,0.2647058823529412
2023,24,전북,페트레스쿠,포항,40.4,0.82,319,9,68,196,55,18,112,189,127,125,67,7,389.0,0.17480719794344474,0.48586118251928023,0.3264781491002571
2023,24,수원FC,김도균,광주,47,0.85,436,4,39,222,175,43,188,205,149,184,103,7,512.0,0.076171875,0.400390625,0.291015625
2023,24,광주,이정효,수원FC,53,0.89,423,7,127,231,65,37,154,232,136,170,117,2,475.0,0.2673684210526316,0.4884210526315789,0.2863157894736842
2023,24,강원,윤정환,수원,46,0.82,353,8,60,205,88,46,143,164,138,129,86,8,430.0,0.13953488372093023,0.3813953488372093,0.3209302325581395
2023,24,수원,김병수,강원,54,0.86,483,9,70,309,104,34,144,305,160,188,135,3,561.0,0.12477718360071301,0.5436720142602496,0.28520499108734404
2023,24,서울,안익수,인천,63.5,0.89,583,7,125,379,79,34,216,333,224,220,139,12,655.0,0.19083969465648856,0.5083969465648855,0.3419847328244275
2023,24,인천,조성환,서울,36.5,0.78,286,4,46,144,96,21,84,181,117,93,76,1,366.0,0.12568306010928962,0.49453551912568305,0.319672131147541
2023,24,대전,이민성,대구,60.1,0.86,412,6,94,250,68,29,142,241,143,158,111,8,479.0,0.19624217118997914,0.5031315240083507,0.2985386221294363
2023,24,대구,최원권,대전,39.9,0.74,224,1,45,123,56,26,76,122,98,71,55,0,302.0,0.1490066225165563,0.40397350993377484,0.32450331125827814
