년도,라운드,구단,감독,상대,점유율,패스성공률(%),패스 성공,키패스,공격진영 패스,중앙지역 패스,수비진영 패스,롱패스,중거리패스,단거리패스,전방패스,횡패스,후방패스,크로스,패스,공격진영 패스 비율,단거리패스 비율,전방패스 비율
2024,1,안산,임관식,경남,50.4,0.8,393,2,52,181,160,30,126,237,138,147,108,1,491.0,0.10590631364562118,0.48268839103869654,0.28105906313645623
2024,1,경남,박동혁,안산,49.6,0.76,296,8,91,146,59,24,132,140,103,113,80,4,389.0,0.23393316195372751,0.35989717223650386,0.2647814910025707
2024,1,안양,유병훈,성남,37.2,0.76,290,5,66,157,67,23,79,188,135,93,62,5,381.0,0.1732283464566929,0.49343832020997375,0.3543307086614173
2024,1,성남,이기형,안양,62.8,0.87,559,4,95,326,138,27,197,335,198,239,122,4,642.0,0.14797507788161993,0.5218068535825545,0.308411214953271
2024,1,부천,이영민,천안,56.7,0.85,457,13,92,235,130,29,125,303,165,186,106,6,537.0,0.1713221601489758,0.5642458100558659,0.30726256983240224
2024,1,천안,김태완,부천,43.3,0.79,291,8,41,186,64,31,110,150,128,100,63,1,368.0,0.11141304347826086,0.4076086956521739,0.34782608695652173
2024,1,충북청주,최윤겸,전남,41.3,0.74,319,6,66,181,72,19,79,221,109,137,73,1,431.0,0.1531322505800464,0.5127610208816705,0.2529002320185615
2024,1,전남,이장관,충북청주,58.7,0.79,384,3,61,186,137,35,136,213,139,154,91,3,486.0,0.12551440329218108,0.4382716049382716,0.28600823045267487
2024,1,수원,염기훈,충남아산,44.4,0.79,305,3,34,170,101,22,94,189,93,127,85,4,386.0,0.08808290155440414,0.4896373056994819,0.24093264248704663
2024,1,충남아산,김현석,수원,55.6,0.83,394,6,104,205,85,38,147,209,141,163,90,4,474.0,0.21940928270042195,0.4409282700421941,0.2974683544303797
2024,1,부산,박진섭,서울E,61,0.83,421,10,76,270,75,47,136,238,170,156,95,5,507.0,0.14990138067061143,0.46942800788954636,0.33530571992110453
2024,1,서울E,김도균,부산,39,0.75,218,10,37,116,65,21,82,115,91,80,47,9,290.0,0.12758620689655173,0.39655172413793105,0.3137931034482759
2024,2,경남,박동혁,부산,51,0.77,285,6,93,136,56,29,106,150,118,84,83,4,370.0,0.25135135135135134,0.40540540540540543,0.31891891891891894
2024,2,부산,박진섭,경남,49,0.8,318,15,55,177,86,27,101,190,154,90,74,3,397.0,0.1385390428211587,0.47858942065491183,0.3879093198992443
2024,2,전남,이장관,김포,416,,416,12,67,248,101,43,159,214,144,144,128,5,,,,
2024,2,김포,고정운,전남,457,,457,2,43,313,101,35,163,259,162,188,107,1,,,,
2024,2,충남아산,김현석,부천,56,0.83,376,9,69,232,75,30,158,188,127,162,87,5,453.0,0.152317880794702,0.41501103752759383,0.2803532008830022
2024,2,부천,이영민,충남아산,44,0.76,267,6,34,134,99,20,80,167,99,84,84,5,351.0,0.09686609686609686,0.4757834757834758,0.28205128205128205
2024,2,서울E,김도균,수원,39.9,0.76,258,7,43,112,103,24,91,143,87,98,73,4,339.0,0.12684365781710916,0.4218289085545723,0.25663716814159293
2024,2,수원,염기훈,서울E,60.1,0.86,481,8,106,285,90,24,167,290,160,191,130,5,559.0,0.18962432915921287,0.518783542039356,0.28622540250447226
2024,2,천안,김태완,충북청주,36.2,0.66,150,2,12,94,44,25,45,80,64,48,38,1,227.0,0.05286343612334802,0.3524229074889868,0.28193832599118945
2024,2,충북청주,최윤겸,천안,63.8,0.87,489,11,185,249,55,39,179,271,141,219,129,13,562.0,0.3291814946619217,0.4822064056939502,0.2508896797153025
2024,2,성남,이기형,안산,56,0.83,452,7,85,267,100,38,170,244,156,170,126,4,544.0,0.15625,0.4485294117647059,0.2867647058823529
2024,2,안산,임관식,성남,44,0.82,392,7,62,177,153,29,96,267,149,134,109,2,478.0,0.1297071129707113,0.5585774058577406,0.3117154811715481
2024,3,천안,김태완,성남,70.5,0.91,676,3,73,486,117,41,239,396,213,284,179,4,742.0,0.09838274932614555,0.5336927223719676,0.28706199460916443
2024,3,성남,이기형,천안,29.5,0.77,220,3,36,101,83,31,53,136,80,84,56,3,285.0,0.12631578947368421,0.47719298245614034,0.2807017543859649
2024,3,경남,박동혁,충남아산,55,0.85,405,5,49,257,99,23,190,192,145,155,105,4,476.0,0.10294117647058823,0.40336134453781514,0.30462184873949577
2024,3,충남아산,김현석,경남,45,0.8,337,6,44,187,106,25,119,193,126,115,96,4,421.0,0.10451306413301663,0.4584323040380047,0.2992874109263658
2024,3,부천,이영민,서울E,51.6,0.87,492,6,51,333,108,19,122,351,161,198,133,2,565.0,0.09026548672566372,0.6212389380530974,0.2849557522123894
2024,3,서울E,김도균,부천,48.4,0.85,424,10,92,238,94,19,158,247,147,166,111,4,498.0,0.18473895582329317,0.4959839357429719,0.29518072289156627
2024,3,부산,박진섭,김포,59.6,0.89,630,16,102,429,99,28,235,367,239,247,144,13,707.0,0.14427157001414428,0.5190947666195191,0.33804809052333806
2024,3,김포,고정운,부산,40.4,0.77,275,3,42,171,62,37,75,163,104,95,76,3,357.0,0.11764705882352941,0.4565826330532213,0.2913165266106443
2024,3,충북청주,최윤겸,안양,59.3,0.82,463,2,69,284,110,33,149,281,144,189,130,3,564.0,0.12234042553191489,0.49822695035460995,0.2553191489361702
2024,3,안양,유병훈,충북청주,40.7,0.77,296,3,65,164,67,28,82,186,122,112,62,2,384.0,0.16927083333333334,0.484375,0.3177083333333333
2024,3,안산,임관식,수원,46.2,0.82,377,3,65,203,109,35,134,208,137,145,95,2,459.0,0.14161220043572983,0.4531590413943355,0.2984749455337691
2024,3,수원,염기훈,안산,53.8,0.87,408,8,61,223,124,19,180,209,132,178,98,4,468.0,0.13034188034188035,0.4465811965811966,0.28205128205128205
2024,4,충남아산,김현석,충북청주,63,0.89,515,7,56,338,121,32,245,238,187,201,127,6,578.0,0.09688581314878893,0.4117647058823529,0.3235294117647059
2024,4,충북청주,최윤겸,충남아산,37,0.74,272,4,33,162,77,24,60,188,98,89,85,1,367.0,0.08991825613079019,0.5122615803814714,0.2670299727520436
2024,4,성남,최철우,김포,65.4,0.88,590,9,80,374,136,35,220,335,171,251,168,10,670.0,0.11940298507462686,0.5,0.25522388059701495
2024,4,김포,고정운,성남,34.6,0.7,199,10,42,120,37,21,60,118,71,73,55,2,284.0,0.14788732394366197,0.4154929577464789,0.25
2024,4,서울E,김도균,안양,62.4,0.86,512,4,52,351,109,24,248,240,148,248,116,4,595.0,0.08739495798319327,0.40336134453781514,0.24873949579831933
2024,4,안양,유병훈,서울E,37.6,0.73,260,3,54,146,60,19,76,165,103,94,63,2,356.0,0.15168539325842698,0.46348314606741575,0.2893258426966292
2024,4,부천,이영민,경남,44.4,0.79,319,6,44,173,102,15,87,217,106,151,62,6,403.0,0.10918114143920596,0.5384615384615384,0.2630272952853598
2024,4,경남,박동혁,부천,55.6,0.86,450,9,91,264,95,45,182,223,156,188,106,6,523.0,0.1739961759082218,0.42638623326959846,0.2982791586998088
2024,4,전남,이장관,천안,50.5,0.79,346,9,93,188,65,37,106,203,142,108,96,5,437.0,0.2128146453089245,0.4645308924485126,0.32494279176201374
2024,4,천안,김태완,전남,49.5,0.8,349,10,55,179,115,16,141,192,138,134,77,6,436.0,0.12614678899082568,0.44036697247706424,0.3165137614678899
2024,4,수원,염기훈,부산,62.5,0.89,545,15,134,314,97,32,215,298,199,232,114,8,612.0,0.21895424836601307,0.4869281045751634,0.32516339869281047
