년도,라운드,구단,감독,상대,득점,실점,점유율,패스성공률(%),패스 성공,키패스,공격진영 패스,중앙지역 패스,수비진영 패스,롱패스,중거리패스,단거리패스,전방패스,횡패스,후방패스,크로스,패스,공격진영 패스 비율,단거리패스 비율,전방패스 비율
2021,1,전북,김상식,서울,2,0,51.8,0.78,473,5,121,266,86,27,184,262,175,173,125,3,606,0.199669967,0.4323432343,0.2887788779
2021,1,서울,박진섭,전북,0,2,48.2,0.76,371,7,69,197,105,32,145,194,133,148,90,3,488,0.1413934426,0.3975409836,0.2725409836
2021,1,대구,이병근,수원FC,1,1,54.1,0.79,428,7,72,235,121,29,171,228,163,161,104,3,541,0.1330868762,0.4214417745,0.3012939002
2021,1,수원FC,김도균,대구,1,1,45.9,0.78,358,5,51,239,68,28,93,237,129,135,94,2,458,0.1113537118,0.5174672489,0.2816593886
2021,1,포항,김기동,인천,2,1,58.7,0.85,525,6,69,299,157,51,239,235,169,226,130,4,617,0.1118314425,0.3808752026,0.2739059968
2021,1,인천,조성환,포항,1,2,41.3,0.77,315,2,40,209,66,33,100,182,112,111,92,0,409,0.097799511,0.4449877751,0.2738386308
2021,1,수원,박건하,광주,1,0,62.6,0.82,515,14,136,295,84,50,179,286,180,195,140,7,628,0.2165605096,0.4554140127,0.2866242038
2021,1,광주,김호영,수원,0,1,37.4,0.68,240,2,34,140,66,27,115,98,92,98,50,3,352,0.09659090909,0.2784090909,0.2613636364
2021,1,울산,홍명보,강원,5,0,55.4,0.87,550,8,99,288,163,40,220,290,177,205,168,3,632,0.1566455696,0.4588607595,0.2800632911
2021,1,강원,김병수,울산,0,5,44.6,0.8,399,6,70,216,113,34,129,236,120,155,124,2,498,0.140562249,0.4738955823,0.2409638554
2021,1,성남,김남일,제주,0,0,53,0.74,397,7,65,207,125,42,174,181,136,155,106,9,536,0.1212686567,0.3376865672,0.2537313433
2021,1,제주,남기일,성남,0,0,47,0.72,362,8,70,220,72,19,128,215,135,133,94,3,502,0.1394422311,0.4282868526,0.2689243028
